STATE/UT,Total
A&N Islands,4
A&N Islands,2
A&N Islands,6
Andhra Pradesh,1734
Andhra Pradesh,750
Andhra Pradesh,2484
Arunachal Pradesh,65
Arunachal Pradesh,4
Arunachal Pradesh,69
Assam,1257
Assam,97
Assam,1354
Bihar,2733
Bihar,708
Bihar,3441
Chandigarh,20
Chandigarh,2
Chandigarh,22
Chhattisgarh,630
Chhattisgarh,344
Chhattisgarh,974
D&N Haveli,2
D&N Haveli,1
D&N Haveli,3
Daman & Diu,5
Daman & Diu,4
Daman & Diu,9
Delhi UT,408
Delhi UT,122
Delhi UT,530
Goa,25
Goa,12
Goa,37
Gujarat,786
Gujarat,376
Gujarat,1162
Haryana,795
Haryana,213
Haryana,1008
Himachal Pradesh,77
Himachal Pradesh,29
Himachal Pradesh,106
Jammu & Kashmir,156
Jammu & Kashmir,28
Jammu & Kashmir,184
Jharkhand,1431
Jharkhand,232
Jharkhand,1663
Karnataka,968
Karnataka,716
Karnataka,1684
Kerala,253
Kerala,121
Kerala,374
Lakshadweep,0
Lakshadweep,0
Lakshadweep,0
Madhya Pradesh,1525
Madhya Pradesh,633
Madhya Pradesh,2158
Maharashtra,1690
Maharashtra,895
Maharashtra,2585
Manipur,81
Manipur,18
Manipur,99
Meghalaya,148
Meghalaya,19
Meghalaya,167
Mizoram,20
Mizoram,9
Mizoram,29
Nagaland,73
Nagaland,7
Nagaland,80
Odisha,938
Odisha,562
Odisha,1500
Puducherry,24
Puducherry,7
Puducherry,31
Punjab,509
Punjab,229
Punjab,738
Rajasthan,1177
Rajasthan,396
Rajasthan,1573
Sikkim,12
Sikkim,3
Sikkim,15
Tamil Nadu,1380
Tamil Nadu,660
Tamil Nadu,2040
Tripura,86
Tripura,56
Tripura,142
Uttar Pradesh,3913
Uttar Pradesh,1260
Uttar Pradesh,5173
Uttarakhand,123
Uttarakhand,74
Uttarakhand,197
West Bengal,1673
West Bengal,591
West Bengal,2264
